dim,icc,stream,category
0,0.98083436,acc_mean,good
1,0.9673888,acc_mean,good
2,0.9672804,acc_mean,good
3,0.9811786,acc_mean,good
4,0.96634597,acc_mean,good
5,0.98552847,acc_mean,good
6,0.95291823,acc_mean,good
7,0.9490716,acc_mean,good
8,0.9823261,acc_mean,good
9,0.966683,acc_mean,good
10,0.98309934,acc_mean,good
11,0.98848563,acc_mean,good
12,0.9653148,acc_mean,good
13,0.6830454,acc_mean,moderate
14,0.9804021,acc_mean,good
15,0.9638884,acc_mean,good
16,0.9708842,acc_mean,good
17,0.89781594,acc_mean,good
18,0.97555196,acc_mean,good
19,0.96138674,acc_mean,good
20,0.9511035,acc_mean,good
21,0.98264015,acc_mean,good
22,0.96559584,acc_mean,good
23,0.9747132,acc_mean,good
24,0.9677543,acc_mean,good
25,0.9341681,acc_mean,good
26,0.979292,acc_mean,good
27,0.9518045,acc_mean,good
28,0.9652296,acc_mean,good
29,0.9737363,acc_mean,good
30,0.97441906,acc_mean,good
31,0.95812696,acc_mean,good
32,0.95451796,acc_mean,good
33,0.9796923,acc_mean,good
34,0.963429,acc_mean,good
35,0.9858245,acc_mean,good
36,0.9830882,acc_mean,good
37,0.93870384,acc_mean,good
38,0.982116,acc_mean,good
39,0.98660034,acc_mean,good
40,0.9796578,acc_mean,good
41,0.96559745,acc_mean,good
42,0.9597091,acc_mean,good
43,0.94786125,acc_mean,good
44,0.97149336,acc_mean,good
45,0.95928955,acc_mean,good
46,0.97163045,acc_mean,good
47,0.9890669,acc_mean,good
48,0.8169978,acc_mean,good
49,0.9857391,acc_mean,good
50,0.9820832,acc_mean,good
51,0.9699831,acc_mean,good
52,0.9823865,acc_mean,good
53,0.9541655,acc_mean,good
54,0.9754179,acc_mean,good
55,0.94698244,acc_mean,good
56,0.9844514,acc_mean,good
57,0.87765527,acc_mean,good
58,0.9553041,acc_mean,good
59,0.9778105,acc_mean,good
60,0.88943446,acc_mean,good
61,0.950106,acc_mean,good
62,0.85811895,acc_mean,good
63,0.9701622,acc_mean,good
64,0.9448961,acc_std,good
65,0.9480157,acc_std,good
66,0.9599254,acc_std,good
67,0.9785589,acc_std,good
68,0.98213935,acc_std,good
69,0.9859273,acc_std,good
70,0.9567245,acc_std,good
71,0.961929,acc_std,good
72,0.96764195,acc_std,good
73,0.9399683,acc_std,good
74,0.9665222,acc_std,good
75,0.9891942,acc_std,good
76,0.76217526,acc_std,good
77,0.9728417,acc_std,good
78,0.9620433,acc_std,good
79,0.93503696,acc_std,good
80,0.90309274,acc_std,good
81,0.9766516,acc_std,good
82,0.98238224,acc_std,good
83,0.9486559,acc_std,good
84,0.94487816,acc_std,good
85,0.9840743,acc_std,good
86,0.9777528,acc_std,good
87,0.95396334,acc_std,good
88,0.9094016,acc_std,good
89,0.85071176,acc_std,good
90,0.9667021,acc_std,good
91,0.85918576,acc_std,good
92,0.9343022,acc_std,good
93,0.948309,acc_std,good
94,0.97500885,acc_std,good
95,0.93700165,acc_std,good
96,0.96980053,acc_std,good
97,0.95639807,acc_std,good
98,0.9814309,acc_std,good
99,0.9566869,acc_std,good
100,0.97252995,acc_std,good
101,0.9328022,acc_std,good
102,0.97689027,acc_std,good
103,0.9759861,acc_std,good
104,0.97772825,acc_std,good
105,0.6653808,acc_std,moderate
106,0.91779464,acc_std,good
107,0.929009,acc_std,good
108,0.95627826,acc_std,good
109,0.9528561,acc_std,good
110,0.9749331,acc_std,good
111,0.9807459,acc_std,good
112,0.9400223,acc_std,good
113,0.97747433,acc_std,good
114,0.9697798,acc_std,good
115,0.9864311,acc_std,good
116,0.93116933,acc_std,good
117,0.9792657,acc_std,good
118,0.9422779,acc_std,good
119,0.7374192,acc_std,moderate
120,0.9632704,acc_std,good
121,0.943403,acc_std,good
122,0.9681624,acc_std,good
123,0.9826956,acc_std,good
124,0.9701405,acc_std,good
125,0.7954868,acc_std,good
126,0.86651766,acc_std,good
127,0.943284,acc_std,good
128,0.3897183,gravity,poor
129,0.3897183,gravity,poor
130,0.3897753,gravity,poor
131,0.38976684,gravity,poor
132,0.38966313,gravity,poor
133,0.38945818,gravity,poor
134,0.3891466,gravity,poor
135,0.38870963,gravity,poor
136,0.3881352,gravity,poor
137,0.38743356,gravity,poor
138,0.38656992,gravity,poor
139,0.38552397,gravity,poor
140,0.384325,gravity,poor
141,0.38293016,gravity,poor
142,0.38130772,gravity,poor
143,0.37948155,gravity,poor
144,0.37744823,gravity,poor
145,0.37514088,gravity,poor
146,0.37255818,gravity,poor
147,0.36979336,gravity,poor
148,0.36671567,gravity,poor
149,0.36330128,gravity,poor
150,0.3597222,gravity,poor
151,0.3558464,gravity,poor
152,0.35162425,gravity,poor
153,0.34720054,gravity,poor
154,0.3426076,gravity,poor
155,0.33770514,gravity,poor
156,0.3325674,gravity,poor
157,0.32749975,gravity,poor
158,0.3222226,gravity,poor
159,0.31676996,gravity,poor
160,0.3115851,gravity,poor
161,0.30643207,gravity,poor
162,0.30128956,gravity,poor
163,0.29648075,gravity,poor
164,0.29208452,gravity,poor
165,0.28790984,gravity,poor
166,0.28410956,gravity,poor
167,0.28109437,gravity,poor
168,0.27847847,gravity,poor
169,0.27630827,gravity,poor
170,0.27503034,gravity,poor
171,0.27432826,gravity,poor
172,0.2741342,gravity,poor
173,0.27467215,gravity,poor
174,0.2759202,gravity,poor
175,0.27763885,gravity,poor
176,0.27986908,gravity,poor
177,0.28282458,gravity,poor
178,0.28614616,gravity,poor
179,0.28979516,gravity,poor
180,0.29400188,gravity,poor
181,0.29850003,gravity,poor
182,0.3031926,gravity,poor
183,0.30818236,gravity,poor
184,0.31343108,gravity,poor
185,0.31875613,gravity,poor
186,0.3241652,gravity,poor
187,0.32980558,gravity,poor
188,0.33543134,gravity,poor
189,0.3410141,gravity,poor
190,0.34673563,gravity,poor
191,0.35241917,gravity,poor
192,0.358003,gravity,poor
193,0.3635851,gravity,poor
194,0.36916012,gravity,poor
195,0.3745995,gravity,poor
196,0.37992662,gravity,poor
197,0.3852842,gravity,poor
198,0.39048508,gravity,poor
199,0.39551964,gravity,poor
200,0.4005563,gravity,poor
201,0.4054585,gravity,poor
202,0.410185,gravity,poor
203,0.4148288,gravity,poor
204,0.4193934,gravity,poor
205,0.4237775,gravity,poor
206,0.4280075,gravity,poor
207,0.43220744,gravity,poor
208,0.43622485,gravity,poor
209,0.44005597,gravity,poor
210,0.44384265,gravity,poor
211,0.44747376,gravity,poor
212,0.45091757,gravity,poor
213,0.45425206,gravity,poor
214,0.45747972,gravity,poor
215,0.46051905,gravity,poor
216,0.4633928,gravity,poor
217,0.4662011,gravity,poor
218,0.46881938,gravity,poor
219,0.47124568,gravity,poor
220,0.4735963,gravity,poor
221,0.47577816,gravity,poor
222,0.47776535,gravity,poor
223,0.47962442,gravity,poor
224,0.48135573,gravity,poor
225,0.48288926,gravity,poor
226,0.484246,gravity,poor
227,0.48551527,gravity,poor
228,0.48658347,gravity,poor
229,0.4874485,gravity,poor
230,0.48822513,gravity,poor
231,0.48882023,gravity,poor
232,0.48920822,gravity,poor
233,0.4894622,gravity,poor
234,0.48958158,gravity,poor
235,0.48949057,gravity,poor
236,0.48921528,gravity,poor
237,0.48886338,gravity,poor
238,0.48829862,gravity,poor
239,0.48751956,gravity,poor
240,0.4866782,gravity,poor
241,0.4856528,gravity,poor
242,0.4844117,gravity,poor
243,0.48305875,gravity,poor
244,0.48159507,gravity,poor
245,0.47991586,gravity,poor
246,0.47806087,gravity,poor
247,0.47619116,gravity,poor
248,0.47410798,gravity,poor
249,0.47181138,gravity,poor
250,0.46953228,gravity,poor
251,0.4670895,gravity,poor
252,0.46443796,gravity,poor
253,0.46173635,gravity,poor
254,0.45898858,gravity,poor
255,0.45603874,gravity,poor
256,0.4529482,gravity,poor
257,0.44995946,gravity,poor
258,0.44677782,gravity,poor
259,0.4434058,gravity,poor
260,0.4401813,gravity,poor
261,0.43684265,gravity,poor
262,0.4333257,gravity,poor
263,0.42985684,gravity,poor
264,0.42644253,gravity,poor
265,0.4228644,gravity,poor
266,0.41920757,gravity,poor
267,0.41580388,gravity,poor
268,0.41225263,gravity,poor
269,0.4085585,gravity,poor
270,0.4051668,gravity,poor
271,0.40173292,gravity,poor
272,0.3981747,gravity,poor
273,0.39477894,gravity,poor
274,0.3915534,gravity,poor
275,0.38822222,gravity,poor
276,0.3848904,gravity,poor
277,0.3819606,gravity,poor
278,0.37894484,gravity,poor
279,0.37584877,gravity,poor
280,0.37319374,gravity,poor
281,0.37057477,gravity,poor
282,0.3678944,gravity,poor
283,0.36547613,gravity,poor
284,0.36332634,gravity,poor
285,0.36113194,gravity,poor
286,0.35900623,gravity,poor
287,0.35738477,gravity,poor
288,0.35573372,gravity,poor
289,0.35405704,gravity,poor
290,0.35289955,gravity,poor
291,0.3518312,gravity,poor
292,0.3507473,gravity,poor
293,0.34997195,gravity,poor
294,0.3495061,gravity,poor
295,0.34902918,gravity,poor
296,0.34864733,gravity,poor
297,0.3487798,gravity,poor
298,0.34889984,gravity,poor
299,0.34900683,gravity,poor
300,0.34960616,gravity,poor
301,0.35028678,gravity,poor
302,0.35094446,gravity,poor
303,0.3518659,gravity,poor
304,0.35304344,gravity,poor
305,0.354181,gravity,poor
306,0.3553645,gravity,poor
307,0.3569491,gravity,poor
308,0.35847038,gravity,poor
309,0.3599216,gravity,poor
310,0.36171576,gravity,poor
311,0.3635025,gravity,poor
312,0.36518967,gravity,poor
313,0.36699978,gravity,poor
314,0.36891854,gravity,poor
315,0.37070525,gravity,poor
316,0.37242177,gravity,poor
317,0.3743317,gravity,poor
318,0.3760774,gravity,poor
319,0.37765208,gravity,poor
320,0.37935367,gravity,poor
321,0.38092324,gravity,poor
322,0.3822936,gravity,poor
323,0.38362122,gravity,poor
324,0.3848944,gravity,poor
325,0.3859467,gravity,poor
326,0.38682252,gravity,poor
327,0.3877025,gravity,poor
328,0.38834736,gravity,poor
329,0.38875753,gravity,poor
330,0.38913566,gravity,poor
331,0.38931412,gravity,poor
332,0.3892549,gravity,poor
333,0.38906837,gravity,poor
334,0.3887528,gravity,poor
335,0.38820505,gravity,poor
336,0.38746268,gravity,poor
337,0.38665533,gravity,poor
338,0.38562846,gravity,poor
339,0.38438916,gravity,poor
340,0.38308924,gravity,poor
341,0.3816167,gravity,poor
342,0.37995097,gravity,poor
343,0.37818247,gravity,poor
344,0.37631646,gravity,poor
345,0.37427947,gravity,poor
346,0.3721066,gravity,poor
347,0.3699114,gravity,poor
348,0.36756834,gravity,poor
349,0.365086,gravity,poor
350,0.36260533,gravity,poor
351,0.3600264,gravity,poor
352,0.35733062,gravity,poor
353,0.35460734,gravity,poor
354,0.351863,gravity,poor
355,0.34902257,gravity,poor
356,0.34612122,gravity,poor
357,0.3432778,gravity,poor
358,0.34035712,gravity,poor
359,0.33736515,gravity,poor
360,0.3344542,gravity,poor
361,0.33151135,gravity,poor
362,0.3285126,gravity,poor
363,0.32555422,gravity,poor
364,0.32263988,gravity,poor
365,0.31968254,gravity,poor
366,0.31671745,gravity,poor
367,0.31387448,gravity,poor
368,0.31099853,gravity,poor
369,0.30809295,gravity,poor
370,0.3053234,gravity,poor
371,0.30256173,gravity,poor
372,0.29977778,gravity,poor
373,0.2970741,gravity,poor
374,0.29445192,gravity,poor
375,0.29181376,gravity,poor
376,0.2891946,gravity,poor
377,0.2867308,gravity,poor
378,0.28425542,gravity,poor
379,0.2817694,gravity,poor
380,0.27944314,gravity,poor
381,0.2771421,gravity,poor
382,0.27483365,gravity,poor
383,0.27261963,gravity,poor
384,0.27050003,gravity,poor
385,0.2683754,gravity,poor
386,0.26627916,gravity,poor
387,0.26434368,gravity,poor
388,0.26240474,gravity,poor
389,0.26046258,gravity,poor
390,0.25867856,gravity,poor
391,0.256924,gravity,poor
392,0.25516742,gravity,poor
393,0.25350198,gravity,poor
394,0.25192806,gravity,poor
395,0.25035232,gravity,poor
396,0.24880514,gravity,poor
397,0.24740529,gravity,poor
398,0.24600439,gravity,poor
399,0.24460222,gravity,poor
400,0.24334036,gravity,poor
401,0.24210557,gravity,poor
402,0.2408701,gravity,poor
403,0.23971336,gravity,poor
404,0.2386351,gravity,poor
405,0.23755635,gravity,poor
406,0.23650159,gravity,poor
407,0.2355692,gravity,poor
408,0.23463638,gravity,poor
409,0.2337031,gravity,poor
410,0.23288238,gravity,poor
411,0.23208395,gravity,poor
412,0.23128513,gravity,poor
413,0.23054771,gravity,poor
414,0.22987142,gravity,poor
415,0.22919506,gravity,poor
416,0.2285368,gravity,poor
417,0.22797102,gravity,poor
418,0.22740468,gravity,poor
419,0.22683835,gravity,poor
420,0.22635405,gravity,poor
421,0.22588594,gravity,poor
422,0.22541767,gravity,poor
423,0.22499256,gravity,poor
424,0.22461064,gravity,poor
425,0.22422875,gravity,poor
426,0.22391033,gravity,poor
427,0.22391033,gravity,poor
428,0.16801777,gravity,poor
429,0.16801777,gravity,poor
430,0.17296262,gravity,poor
431,0.17917193,gravity,poor
432,0.18569289,gravity,poor
433,0.19246393,gravity,poor
434,0.19949675,gravity,poor
435,0.20687452,gravity,poor
436,0.21457407,gravity,poor
437,0.22247636,gravity,poor
438,0.2307471,gravity,poor
439,0.23939021,gravity,poor
440,0.24820767,gravity,poor
441,0.25735974,gravity,poor
442,0.26688045,gravity,poor
443,0.27661723,gravity,poor
444,0.28656262,gravity,poor
445,0.29683954,gravity,poor
446,0.3073668,gravity,poor
447,0.31791022,gravity,poor
448,0.32870305,gravity,poor
449,0.33969477,gravity,poor
450,0.35056338,gravity,poor
451,0.36148924,gravity,poor
452,0.37245402,gravity,poor
453,0.38322577,gravity,poor
454,0.3937614,gravity,poor
455,0.40412524,gravity,poor
456,0.4141719,gravity,poor
457,0.42369434,gravity,poor
458,0.43280667,gravity,poor
459,0.44139212,gravity,poor
460,0.4492872,gravity,poor
461,0.4565264,gravity,poor
462,0.46301836,gravity,poor
463,0.46871045,gravity,poor
464,0.4736119,gravity,poor
465,0.4776158,gravity,poor
466,0.48069248,gravity,poor
467,0.48305446,gravity,poor
468,0.48446563,gravity,poor
469,0.4848838,gravity,poor
470,0.48472863,gravity,poor
471,0.48374382,gravity,poor
472,0.48184234,gravity,poor
473,0.47937122,gravity,poor
474,0.47642142,gravity,poor
475,0.4726939,gravity,poor
476,0.4683478,gravity,poor
477,0.46398672,gravity,poor
478,0.4590124,gravity,poor
479,0.45346174,gravity,poor
480,0.448111,gravity,poor
481,0.44244954,gravity,poor
482,0.43637276,gravity,poor
483,0.43037137,gravity,poor
484,0.42449716,gravity,poor
485,0.41834027,gravity,poor
486,0.41208535,gravity,poor
487,0.40636042,gravity,poor
488,0.40045404,gravity,poor
489,0.39439607,gravity,poor
490,0.3889289,gravity,poor
491,0.38349652,gravity,poor
492,0.37797907,gravity,poor
493,0.3728061,gravity,poor
494,0.36798522,gravity,poor
495,0.36312392,gravity,poor
496,0.35836747,gravity,poor
497,0.3542317,gravity,poor
498,0.35008436,gravity,poor
499,0.34593907,gravity,poor
500,0.34239867,gravity,poor
501,0.3389852,gravity,poor
502,0.33558837,gravity,poor
503,0.3325498,gravity,poor
504,0.32986575,gravity,poor
505,0.3272072,gravity,poor
506,0.32468495,gravity,poor
507,0.32271236,gravity,poor
508,0.32077035,gravity,poor
509,0.3188641,gravity,poor
510,0.31748053,gravity,poor
511,0.31622806,gravity,poor
512,0.31501216,gravity,poor
513,0.31410933,gravity,poor
514,0.3135169,gravity,poor
515,0.3129612,gravity,poor
516,0.31252968,gravity,poor
517,0.31256744,gravity,poor
518,0.31264135,gravity,poor
519,0.31275064,gravity,poor
520,0.313307,gravity,poor
521,0.31397998,gravity,poor
522,0.31468567,gravity,poor
523,0.31565934,gravity,poor
