dim,icc,stream,category
524,0.31690124,gravity,poor
525,0.3181722,gravity,poor
526,0.31954536,gravity,poor
527,0.32132488,gravity,poor
528,0.323129,gravity,poor
529,0.32495356,gravity,poor
530,0.32716492,gravity,poor
531,0.3294685,gravity,poor
532,0.33178547,gravity,poor
533,0.3343266,gravity,poor
534,0.3370929,gravity,poor
535,0.33986473,gravity,poor
536,0.34270486,gravity,poor
537,0.34589493,gravity,poor
538,0.34908006,gravity,poor
539,0.35225242,gravity,poor
540,0.35575357,gravity,poor
541,0.35930777,gravity,poor
542,0.36283603,gravity,poor
543,0.36653635,gravity,poor
544,0.37041032,gravity,poor
545,0.3742445,gravity,poor
546,0.37809685,gravity,poor
547,0.3822386,gravity,poor
548,0.3863251,gravity,poor
549,0.39034432,gravity,poor
550,0.39463082,gravity,poor
551,0.3989125,gravity,poor
552,0.40310904,gravity,poor
553,0.40741527,gravity,poor
554,0.41183284,gravity,poor
555,0.4161463,gravity,poor
556,0.4204116,gravity,poor
557,0.42490378,gravity,poor
558,0.42927188,gravity,poor
559,0.43350202,gravity,poor
560,0.43793717,gravity,poor
561,0.44229686,gravity,poor
562,0.4464975,gravity,poor
563,0.450741,gravity,poor
564,0.45502883,gravity,poor
565,0.45913598,gravity,poor
566,0.46312118,gravity,poor
567,0.46727365,gravity,poor
568,0.4712237,gravity,poor
569,0.47495732,gravity,poor
570,0.47883737,gravity,poor
571,0.48256692,gravity,poor
572,0.48605844,gravity,poor
573,0.48952687,gravity,poor
574,0.4929735,gravity,poor
575,0.49616015,gravity,poor
576,0.49915147,gravity,poor
577,0.5022533,gravity,moderate
578,0.5050739,gravity,moderate
579,0.5076015,gravity,moderate
580,0.51022,gravity,moderate
581,0.51261485,gravity,moderate
582,0.51469654,gravity,moderate
583,0.5166935,gravity,moderate
584,0.5186044,gravity,moderate
585,0.52018344,gravity,moderate
586,0.5215011,gravity,moderate
587,0.522873,gravity,moderate
588,0.5238959,gravity,moderate
589,0.5245615,gravity,moderate
590,0.5252641,gravity,moderate
591,0.525682,gravity,moderate
592,0.525729,gravity,moderate
593,0.5256392,gravity,moderate
594,0.52541,gravity,moderate
595,0.52479964,gravity,moderate
596,0.52388376,gravity,moderate
597,0.5229748,gravity,moderate
598,0.5216777,gravity,moderate
599,0.51999205,gravity,moderate
600,0.51830447,gravity,moderate
601,0.5163044,gravity,moderate
602,0.5139158,gravity,moderate
603,0.51136947,gravity,moderate
604,0.5086646,gravity,moderate
605,0.5055773,gravity,moderate
606,0.5021881,gravity,moderate
607,0.49879467,gravity,poor
608,0.49503067,gravity,poor
609,0.49090517,gravity,poor
610,0.48678562,gravity,poor
611,0.48238635,gravity,poor
612,0.47764605,gravity,poor
613,0.47278717,gravity,poor
614,0.4678132,gravity,poor
615,0.46252444,gravity,poor
616,0.4570046,gravity,poor
617,0.4515347,gravity,poor
618,0.44578156,gravity,poor
619,0.43976182,gravity,poor
620,0.43382278,gravity,poor
621,0.42770362,gravity,poor
622,0.421354,gravity,poor
623,0.41498765,gravity,poor
624,0.4086106,gravity,poor
625,0.40204123,gravity,poor
626,0.3953626,gravity,poor
627,0.3888411,gravity,poor
628,0.3821658,gravity,poor
629,0.37535468,gravity,poor
630,0.3687378,gravity,poor
631,0.36206803,gravity,poor
632,0.3552984,gravity,poor
633,0.34863132,gravity,poor
634,0.34207168,gravity,poor
635,0.3354448,gravity,poor
636,0.3288272,gravity,poor
637,0.32247096,gravity,poor
638,0.3160759,gravity,poor
639,0.3096555,gravity,poor
640,0.30352077,gravity,poor
641,0.29743183,gravity,poor
642,0.29133943,gravity,poor
643,0.28543106,gravity,poor
644,0.2797065,gravity,poor
645,0.27399513,gravity,poor
646,0.26836398,gravity,poor
647,0.26304504,gravity,poor
648,0.25775182,gravity,poor
649,0.25249127,gravity,poor
650,0.24754755,gravity,poor
651,0.24269372,gravity,poor
652,0.23787908,gravity,poor
653,0.23327057,gravity,poor
654,0.22886448,gravity,poor
655,0.22450052,gravity,poor
656,0.22023506,gravity,poor
657,0.216273,gravity,poor
658,0.21235351,gravity,poor
659,0.20848022,gravity,poor
660,0.20489967,gravity,poor
661,0.2014098,gravity,poor
662,0.19796374,gravity,poor
663,0.19470258,gravity,poor
664,0.19162118,gravity,poor
665,0.18857993,gravity,poor
666,0.18562417,gravity,poor
667,0.18292493,gravity,poor
668,0.18026176,gravity,poor
669,0.17763554,gravity,poor
670,0.1752489,gravity,poor
671,0.17293428,gravity,poor
672,0.17065212,gravity,poor
673,0.16851524,gravity,poor
674,0.16651918,gravity,poor
675,0.16455048,gravity,poor
676,0.16264424,gravity,poor
677,0.1609358,gravity,poor
678,0.15925056,gravity,poor
679,0.15758818,gravity,poor
680,0.15610571,gravity,poor
681,0.15467365,gravity,poor
682,0.15326065,gravity,poor
683,0.15195239,gravity,poor
684,0.15074539,gravity,poor
685,0.14955398,gravity,poor
686,0.14840336,gravity,poor
687,0.14739475,gravity,poor
688,0.14639825,gravity,poor
689,0.14541395,gravity,poor
690,0.14455548,gravity,poor
691,0.14372958,gravity,poor
692,0.14291304,gravity,poor
693,0.14216654,gravity,poor
694,0.1414886,gravity,poor
695,0.14081784,gravity,poor
696,0.14017214,gravity,poor
697,0.13962136,gravity,poor
698,0.13907598,gravity,poor
699,0.1385363,gravity,poor
700,0.13807863,gravity,poor
701,0.13764028,gravity,poor
702,0.13720632,gravity,poor
703,0.13681585,gravity,poor
704,0.13646814,gravity,poor
705,0.13612342,gravity,poor
706,0.13579315,gravity,poor
707,0.13552134,gravity,poor
708,0.1352517,gravity,poor
709,0.13498412,gravity,poor
710,0.13476558,gravity,poor
711,0.13455817,gravity,poor
712,0.13435215,gravity,poor
713,0.13417113,gravity,poor
714,0.13401435,gravity,poor
715,0.13385881,gravity,poor
716,0.13371047,gravity,poor
717,0.1335948,gravity,poor
718,0.13347977,gravity,poor
719,0.13336544,gravity,poor
720,0.13327718,gravity,poor
721,0.1331944,gravity,poor
722,0.13311224,gravity,poor
723,0.1330425,gravity,poor
724,0.13298483,gravity,poor
725,0.13292745,gravity,poor
726,0.13287994,gravity,poor
727,0.13287994,gravity,poor
728,0.48115343,gravity,poor
729,0.48115343,gravity,poor
730,0.484472,gravity,poor
731,0.48842728,gravity,poor
732,0.4923338,gravity,poor
733,0.49617642,gravity,poor
734,0.49994376,gravity,poor
735,0.5036044,gravity,moderate
736,0.5071321,gravity,moderate
737,0.51052296,gravity,moderate
738,0.513734,gravity,moderate
739,0.51672775,gravity,moderate
740,0.5195108,gravity,moderate
741,0.52203345,gravity,moderate
742,0.52424586,gravity,moderate
743,0.5261485,gravity,moderate
744,0.52772546,gravity,moderate
745,0.52889365,gravity,moderate
746,0.5296297,gravity,moderate
747,0.5300128,gravity,moderate
748,0.5298952,gravity,moderate
749,0.5292319,gravity,moderate
750,0.5281852,gravity,moderate
751,0.5266032,gravity,moderate
752,0.524414,gravity,moderate
753,0.5217516,gravity,moderate
754,0.51863426,gravity,moderate
755,0.51488894,gravity,moderate
756,0.5105711,gravity,moderate
757,0.505986,gravity,moderate
758,0.5008016,gravity,moderate
759,0.4950214,gravity,poor
760,0.48909864,gravity,poor
761,0.48273614,gravity,poor
762,0.47586992,gravity,poor
763,0.4688255,gravity,poor
764,0.4616566,gravity,poor
765,0.45410627,gravity,poor
766,0.44631913,gravity,poor
767,0.43876982,gravity,poor
768,0.43097186,gravity,poor
769,0.42296708,gravity,poor
770,0.4153476,gravity,poor
771,0.40771416,gravity,poor
772,0.39999753,gravity,poor
773,0.3925633,gravity,poor
774,0.3854381,gravity,poor
775,0.37833014,gravity,poor
776,0.37137777,gravity,poor
777,0.36501527,gravity,poor
778,0.35874295,gravity,poor
779,0.35258788,gravity,poor
780,0.34705347,gravity,poor
781,0.34175485,gravity,poor
782,0.33661425,gravity,poor
783,0.33191577,gravity,poor
784,0.3276553,gravity,poor
785,0.32357398,gravity,poor
786,0.31976545,gravity,poor
787,0.31655282,gravity,poor
788,0.31352684,gravity,poor
789,0.31069455,gravity,poor
790,0.3084284,gravity,poor
791,0.30642208,gravity,poor
792,0.3046046,gravity,poor
793,0.30318055,gravity,poor
794,0.30214104,gravity,poor
795,0.30128077,gravity,poor
796,0.3006618,gravity,poor
797,0.30052748,gravity,poor
798,0.30056095,gravity,poor
799,0.3007598,gravity,poor
800,0.30140907,gravity,poor
801,0.3022719,gravity,poor
802,0.30328637,gravity,poor
803,0.30461016,gravity,poor
804,0.3062391,gravity,poor
805,0.30800605,gravity,poor
806,0.30995634,gravity,poor
807,0.31228998,gravity,poor
808,0.3147487,gravity,poor
809,0.3173248,gravity,poor
810,0.32025582,gravity,poor
811,0.3233463,gravity,poor
812,0.32653984,gravity,poor
813,0.32996815,gravity,poor
814,0.3336309,gravity,poor
815,0.33738208,gravity,poor
816,0.34125662,gravity,poor
817,0.3454308,gravity,poor
818,0.34967834,gravity,poor
819,0.35398823,gravity,poor
820,0.35856864,gravity,poor
821,0.36324814,gravity,poor
822,0.36797285,gravity,poor
823,0.37285691,gravity,poor
824,0.37790135,gravity,poor
825,0.38297254,gravity,poor
826,0.38809806,gravity,poor
827,0.39343658,gravity,poor
828,0.39878225,gravity,poor
829,0.4041215,gravity,poor
830,0.40964177,gravity,poor
831,0.41518688,gravity,poor
832,0.4207042,gravity,poor
833,0.42629594,gravity,poor
834,0.4319634,gravity,poor
835,0.4375811,gravity,poor
836,0.44317186,gravity,poor
837,0.44888422,gravity,poor
838,0.4545243,gravity,poor
839,0.46007726,gravity,poor
840,0.4657215,gravity,poor
841,0.47130808,gravity,poor
842,0.47678488,gravity,poor
843,0.48225254,gravity,poor
844,0.48771304,gravity,poor
845,0.49304247,gravity,poor
846,0.49826506,gravity,poor
847,0.5035327,gravity,moderate
848,0.5086494,gravity,moderate
849,0.51360095,gravity,moderate
850,0.5185774,gravity,moderate
851,0.5234233,gravity,moderate
852,0.5280861,gravity,moderate
853,0.5326784,gravity,moderate
854,0.53720444,gravity,moderate
855,0.54153156,gravity,moderate
856,0.5456911,gravity,moderate
857,0.54985714,gravity,moderate
858,0.5538106,gravity,moderate
859,0.55754054,gravity,moderate
860,0.5612706,gravity,moderate
861,0.5648221,gravity,moderate
862,0.5681394,gravity,moderate
863,0.5713598,gravity,moderate
864,0.57448894,gravity,moderate
865,0.5773757,gravity,moderate
866,0.5800625,gravity,moderate
867,0.5827568,gravity,moderate
868,0.5852025,gravity,moderate
869,0.5873911,gravity,moderate
870,0.5895912,gravity,moderate
871,0.59159094,gravity,moderate
872,0.5933299,gravity,moderate
873,0.59497356,gravity,moderate
874,0.59652805,gravity,moderate
875,0.59781873,gravity,moderate
876,0.5989001,gravity,moderate
877,0.6000126,gravity,moderate
878,0.6008601,gravity,moderate
879,0.60143787,gravity,moderate
880,0.60205334,gravity,moderate
881,0.6024644,gravity,moderate
882,0.6026058,gravity,moderate
883,0.6026658,gravity,moderate
884,0.6026487,gravity,moderate
885,0.60236275,gravity,moderate
886,0.6018709,gravity,moderate
887,0.6014346,gravity,moderate
888,0.60073143,gravity,moderate
889,0.59975994,gravity,moderate
890,0.5988489,gravity,moderate
891,0.59773904,gravity,moderate
892,0.5963641,gravity,moderate
893,0.5949229,gravity,moderate
894,0.59341806,gravity,moderate
895,0.59165245,gravity,moderate
896,0.5896938,gravity,moderate
897,0.58780754,gravity,moderate
898,0.5856664,gravity,moderate
899,0.5832725,gravity,moderate
900,0.58095556,gravity,moderate
901,0.5784562,gravity,moderate
902,0.57571256,gravity,moderate
903,0.57292175,gravity,moderate
904,0.57008564,gravity,moderate
905,0.56701535,gravity,moderate
906,0.5637794,gravity,moderate
907,0.5606332,gravity,moderate
908,0.5572648,gravity,moderate
909,0.5536807,gravity,moderate
910,0.55019426,gravity,moderate
911,0.546562,gravity,moderate
912,0.5427292,gravity,moderate
913,0.53888375,gravity,moderate
914,0.535028,gravity,moderate
915,0.5309893,gravity,moderate
916,0.52683455,gravity,moderate
917,0.52280205,gravity,moderate
918,0.5186057,gravity,moderate
919,0.51425517,gravity,moderate
920,0.5100406,gravity,moderate
921,0.5057399,gravity,moderate
922,0.5013062,gravity,moderate
923,0.49691343,gravity,poor
924,0.49256527,gravity,poor
925,0.48810574,gravity,poor
926,0.4835985,gravity,poor
927,0.4792611,gravity,poor
928,0.4748342,gravity,poor
929,0.47032782,gravity,poor
930,0.46600693,gravity,poor
931,0.46166924,gravity,poor
932,0.45727262,gravity,poor
933,0.4529753,gravity,poor
934,0.4487798,gravity,poor
935,0.4445441,gravity,poor
936,0.44032508,gravity,poor
937,0.4363187,gravity,poor
938,0.4322886,gravity,poor
939,0.42824286,gravity,poor
940,0.42441824,gravity,poor
941,0.42063054,gravity,poor
942,0.41684008,gravity,poor
943,0.4131862,gravity,poor
944,0.4096687,gravity,poor
945,0.4061586,gravity,poor
946,0.40270394,gravity,poor
947,0.39947525,gravity,poor
948,0.39626142,gravity,poor
949,0.3930671,gravity,poor
950,0.3900962,gravity,poor
951,0.38718575,gravity,poor
952,0.3842989,gravity,poor
953,0.38155282,gravity,poor
954,0.3789451,gravity,poor
955,0.3763631,gravity,poor
956,0.37384492,gravity,poor
957,0.37153256,gravity,poor
958,0.36924618,gravity,poor
959,0.36698776,gravity,poor
960,0.36492428,gravity,poor
961,0.36291945,gravity,poor
962,0.36094102,gravity,poor
963,0.35908294,gravity,poor
964,0.35734195,gravity,poor
965,0.35562527,gravity,poor
966,0.3539623,gravity,poor
967,0.35246482,gravity,poor
968,0.35098904,gravity,poor
969,0.34953552,gravity,poor
970,0.34823373,gravity,poor
971,0.3469768,gravity,poor
972,0.34573933,gravity,poor
973,0.34459174,gravity,poor
974,0.34353152,gravity,poor
975,0.34248775,gravity,poor
976,0.3414817,gravity,poor
977,0.3405963,gravity,poor
978,0.33972427,gravity,poor
979,0.33886617,gravity,poor
980,0.33811554,gravity,poor
981,0.3373948,gravity,poor
982,0.33668524,gravity,poor
983,0.33603668,gravity,poor
984,0.3354476,gravity,poor
985,0.33486736,gravity,poor
986,0.3343106,gravity,poor
987,0.333835,gravity,poor
988,0.33336627,gravity,poor
989,0.33290446,gravity,poor
990,0.33251286,gravity,poor
991,0.33213928,gravity,poor
992,0.3317711,gravity,poor
993,0.3314411,gravity,poor
994,0.3311481,gravity,poor
995,0.33085915,gravity,poor
996,0.3305836,gravity,poor
997,0.33035782,gravity,poor
998,0.33013526,gravity,poor
999,0.32991552,gravity,poor
1000,0.32973772,gravity,poor
1001,0.32956997,gravity,poor
1002,0.32940426,gravity,poor
1003,0.32926026,gravity,poor
1004,0.32913715,gravity,poor
1005,0.32901573,gravity,poor
1006,0.32890105,gravity,poor
1007,0.328814,gravity,poor
1008,0.3287281,gravity,poor
1009,0.3286431,gravity,poor
1010,0.32858035,gravity,poor
1011,0.32852244,gravity,poor
1012,0.32846534,gravity,poor
1013,0.32841885,gravity,poor
1014,0.3283827,gravity,poor
1015,0.3283471,gravity,poor
1016,0.3283143,gravity,poor
1017,0.32829458,gravity,poor
1018,0.3282751,gravity,poor
1019,0.32825586,gravity,poor
1020,0.32824612,gravity,poor
1021,0.32823846,gravity,poor
1022,0.32823083,gravity,poor
1023,0.32822752,gravity,poor
1024,0.32822797,gravity,poor
1025,0.3282284,gravity,poor
1026,0.32822892,gravity,poor
1027,0.32822892,gravity,poor
